manage_area,stratum,used,lower_depth_m,upper_depth_m
Shumagin,2023_010,TRUE,1,75
Shumagin,2023_110,TRUE,76,125
Shumagin,2023_210,TRUE,126,250
Shumagin,2023_310,TRUE,251,700
Shumagin,2023_410,FALSE,701,1000
Shumagin,2023_510,FALSE,1001,3000
Chirikof,2023_020,TRUE,1,50
Chirikof,2023_120,TRUE,51,175
Chirikof,2023_220,TRUE,176,250
Chirikof,2023_320,TRUE,251,300
Chirikof,2023_420,TRUE,301,700
Chirikof,2023_520,FALSE,701,1000
Chirikof,2023_620,FALSE,1001,3000
Kodiak,2023_030,TRUE,1,50
Kodiak,2023_130,TRUE,51,100
Kodiak,2023_230,TRUE,101,200
Kodiak,2023_330,TRUE,201,300
Kodiak,2023_430,TRUE,301,700
Kodiak,2023_530,FALSE,701,1000
Kodiak,2023_630,FALSE,1001,3000
Yakutat,2023_040,TRUE,1,75
Yakutat,2023_140,TRUE,76,125
Yakutat,2023_240,TRUE,126,200
Yakutat,2023_340,TRUE,201,300
Yakutat,2023_440,TRUE,301,500
Yakutat,2023_540,TRUE,501,700
Yakutat,2023_640,FALSE,701,1000
Yakutat,2023_740,FALSE,1001,3000
Southeastern,2023_050,TRUE,1,75
Southeastern,2023_150,TRUE,76,150
Southeastern,2023_250,TRUE,151,200
Southeastern,2023_350,TRUE,201,300
Southeastern,2023_450,TRUE,301,700
Southeastern,2023_550,FALSE,701,1000
Southeastern,2023_650,FALSE,1001,3000
