"Lon","Lat","Area_km2","Eastings","Northings","Depth_m","REP_AREA","STRATUM","LOG10_DEPTH_M","LOG10_DEPTH_M_CEN"
-139.56222,59.9878988,13.30186149,796569.974883758,1197867.81562188,236.789184570312,"650",252,2.37436186194995,0.929235286885293
-139.57658,59.9555571,13.46937338,796569.570130497,1194163.72965625,248.064376831055,"650",252,2.39456440209367,1.00262196231892
-141.41919,60.1103808,13.719616,692857.631962391,1190459.74016324,139.852035522461,"640",144,2.14566879183546,0.0984969742266122
-139.65583,59.9303277,10.04651445,792865.942818901,1190459.81377674,154.556427001953,"650",152,2.18908706927282,0.256215905188524
-139.5909,59.9232135,10.87882096,796569.815905908,1190459.77966651,213.236083984375,"650",252,2.3288606982405,0.763950173763727
-141.43176,60.0778532,9.973453481,692858.00696797,1186755.81328751,58.0114860534668,"640",43,1.76351399073142,-1.28969828015807
-141.36618,60.0716066,13.54029918,696561.777444381,1186755.76769543,146.413330078125,"640",144,2.16558061849716,0.170827619289943
-141.30062,60.0653279,7.136037136,700265.816254933,1186755.77595068,23,"640",42,1.36172783601759,-2.7492053480788
-139.73497,59.905051,6.989962932,789161.723633616,1186755.7595599,12.5135107040405,"650",51,1.09737916944527,-3.70946428864019
-139.67007,59.8979754,13.719616,792865.734428912,1186755.76623231,257.625701904297,"650",252,2.41098918802938,1.06228576825402
-141.3133,60.0328111,11.28212075,700265.633334029,1183051.73991326,110.442344665527,"640",144,2.04313561803687,-0.273959592779736
-139.74912,59.8726901,11.65393824,789161.615218291,1183051.7419664,66.9906158447266,"650",51,1.82601397027859,-1.06266417053581
-139.68428,59.8656213,13.719616,792865.645335976,1183051.74825797,255.896118164062,"650",252,2.40806369787345,1.05165878793225
-141.39138,60.0065593,10.64797415,696561.991052483,1179347.81186354,97.3981399536133,"640",43,1.988550663084,-0.472242004010625
-141.32595,60.0002929,13.719616,700265.722800634,1179347.76463675,31.6490268707275,"640",42,1.50036036107785,-2.24561619301384
-139.76324,59.8403273,11.67567262,789161.639194819,1179347.74405004,42.2607421875,"650",51,1.62593711990762,-1.78945272165386
-139.69846,59.8332653,13.719616,792865.682535221,1179347.75049131,208.431838989258,"650",252,2.31896406031454,0.728000171922854
-139.63371,59.8261718,12.57061608,796569.594910245,1179347.73635541,49.3022918701172,"650",51,1.69286710839305,-1.54632639660686
-146.16845,60.3395645,13.24068806,429873.562999291,1175643.75377178,15.1065673828125,"640",42,1.17916579219731,-3.41237054220934
-146.1016,60.3356515,13.719616,433577.641014293,1175643.75722937,15.6146430969238,"640",42,1.19353206203353,-3.36018439263795
-146.03476,60.3317055,13.719616,437282.049767836,1175643.81187771,16.7240180969238,"640",42,1.22334062882515,-3.25190337447306
-145.96795,60.3277263,13.719616,440985.706456457,1175643.76325785,18.7052783966064,"640",42,1.2719641763252,-3.07527605565904
-145.90115,60.3237141,13.719616,444689.708331636,1175643.76472342,14.7202920913696,"640",42,1.16791642769248,-3.45323438684858
-145.83437,60.3196688,13.719616,448393.517607753,1175643.73824357,11.3429679870605,"640",42,1.05472670638683,-3.86440136292131
-145.63411,60.3073348,13.719616,459506.040457576,1175643.81281954,12.1690263748169,"640",42,1.08525583238295,-3.75350287962112
-141.46935,59.9802618,12.5689176,692857.571164596,1175643.73889367,60.8523216247559,"640",43,1.78427715199232,-1.21427512219919
-141.40395,59.9740335,13.719616,696561.702822529,1175643.76285254,30.0403366088867,"640",42,1.47770479472904,-2.32791360128911
