"Lon","Lat","Area_km2","DEPTH_EFH"
-139.5478426,60.0202387,4.865319912,217.255187988281
-139.5622233,59.9878988,13.30186149,239.075119018555
-139.5765759,59.95555707,13.46937338,247.859634399414
-141.419187,60.11038084,13.719616,138.995742797852
-139.6558328,59.93032765,10.04651445,141.149673461914
-139.5909004,59.92321351,10.87882096,228.690063476562
-141.4317639,60.07785323,9.973453481,57.4663314819336
-141.3661797,60.07160664,13.54029918,146.761947631836
-141.3006204,60.06532793,7.136037136,60.3273887634277
-139.6700689,59.89797537,13.719616,257.483337402344
-141.3132971,60.03281114,11.28212075,110.399566650391
-139.7491168,59.87269005,11.65393824,66.6045684814453
-139.6842773,59.86562125,13.719616,256.803009033203
-141.3913836,60.00655931,10.64797415,97.2103729248047
-141.3259487,60.00029287,13.719616,30.4058303833008
-139.7632372,59.84032728,11.67567262,40.4498176574707
-139.698458,59.83326531,13.719616,207.347473144531
-139.6337064,59.82617176,12.57061608,49.5446434020996
-146.1684458,60.33956445,13.24068806,15.3096675872803
-146.1015972,60.3356515,13.719616,15.5502662658691
-146.0347647,60.33170545,13.719616,16.8168411254883
-145.9679484,60.32772631,13.719616,18.834056854248
-145.9011484,60.3237141,13.719616,14.8259391784668
-142.7164447,60.09248932,7.441263688,14.7493648529053
-142.6505992,60.086873,8.601141905,13.9330072402954
-142.5847763,60.08122432,9.487568867,14.2821598052979
-142.518976,60.0755433,9.245736847,14.7984170913696
-142.4531985,60.06982994,7.647737262,14.8109436035156
-141.469346,59.98026175,12.5689176,61.3236122131348
-141.4039484,59.97403346,13.719616,29.7593154907227
-139.7773301,59.80796268,13.71291499,38.489086151123
-139.712611,59.80090752,13.719616,56.4192199707031
-139.6479195,59.79382081,13.719616,27.8250980377197
-146.3099709,60.31439508,13.719616,15.4662675857544
-146.2431569,60.31055221,13.719616,23.0773525238037
-146.1763587,60.30667625,13.719616,32.8236351013184
-146.1095764,60.30276721,13.719616,39.7465782165527
-146.0428101,60.29882511,13.719616,45.042064666748
-145.97606,60.29484995,13.719616,48.1283569335938
-145.9093261,60.29084175,13.719616,48.0337562561035
-145.8426087,60.28680051,13.719616,33.3872909545898
-145.7759078,60.28272626,13.719616,39.5724945068359
-145.7092236,60.278619,13.719616,34.63720703125
-145.6425562,60.27447874,13.719616,26.1207656860352
-145.5759057,60.27030551,13.719616,18.4580860137939
-142.9252119,60.07648432,11.99534937,19.5712547302246
-142.859363,60.07097061,13.719616,30.3865089416504
-142.7935363,60.06542452,13.719616,36.6195068359375
-142.7277318,60.05984607,13.719616,41.62939453125
-142.6619496,60.05423527,13.719616,36.8492469787598
-142.5961899,60.04859214,13.719616,31.8032207489014
-142.5304528,60.04291669,13.719616,37.0553398132324
-142.4647384,60.03720894,13.719616,39.6987953186035
-142.3990467,60.03146892,13.719616,38.5062370300293
-142.333378,60.02569662,13.719616,40.481143951416
-142.2677324,60.01989208,13.719616,27.4726734161377
-142.2021099,60.0140553,13.719616,26.2199382781982
-142.1365107,60.00818631,13.719616,18.1644706726074
-142.0709349,60.00228512,13.719616,23.1238059997559
-142.0053825,59.99635176,13.719616,23.9947834014893
-141.9398538,59.99038622,13.719616,25.3288898468018
-141.8743489,59.98438854,12.50043246,19.4120807647705
-141.5471841,59.95391855,13.22835432,62.8303756713867
-141.481824,59.94772835,13.719616,61.0573806762695
-141.4164884,59.94150613,13.6905033,28.4210815429688
-139.856082,59.78261309,13.719616,40.1131591796875
-139.7913956,59.77559625,13.719616,56.3641548156738
-139.7267365,59.76854788,13.719616,81.2785415649414
-139.6621049,59.76146799,13.719616,139.429794311523
-139.5975009,59.75435661,13.46457192,92.777229309082
-146.4512776,60.28907734,12.47307421,16.3300170898438
-146.3844988,60.28530447,13.719616,26.4048709869385
-146.3177354,60.28149851,13.719616,34.936653137207
-146.2509877,60.27765948,13.719616,49.3520050048828
-146.1842557,60.2737874,13.719616,58.5840225219727
-146.1175395,60.26988226,13.719616,71.0088424682617
-146.0508393,60.2659441,13.719616,76.6815414428711
-145.9841552,60.2619729,13.719616,78.1558685302734
-145.9174874,60.2579687,13.719616,89.9761734008789
-145.8508359,60.2539315,13.719616,88.9081039428711
-145.7842009,60.24986131,13.719616,78.7411422729492
-145.7175826,60.24575814,13.719616,69.0588073730469
-145.650981,60.24162201,13.719616,55.19287109375
-145.5843962,60.23745293,13.719616,42.5916900634766
-145.5178285,60.23325092,13.719616,33.2999382019043
-145.4512779,60.22901597,13.719616,29.2074031829834
-145.3847446,60.22474812,13.719616,23.0844230651855
-145.3182287,60.22044736,13.719616,17.1340065002441
-144.9859142,60.19845054,13.719616,14.4563312530518
-144.9195053,60.19395265,13.719616,18.3946857452393
-144.8531146,60.18942196,13.719616,21.2120170593262
-144.7867423,60.18485847,13.719616,20.6849136352539
-144.7203885,60.18026221,13.719616,17.980447769165
-144.6540533,60.17563317,13.719616,16.3575801849365
-143.1337742,60.06015412,8.481619843,16.916223526001
-143.0679233,60.05474298,12.37304513,34.0211486816406
-143.0020941,60.04929944,13.719616,66.0871353149414
-142.9362867,60.04382352,13.719616,69.1816253662109
-142.8705012,60.03831522,13.719616,71.4112091064453
-142.8047378,60.03277458,13.719616,74.631217956543
-142.7389965,60.02720161,13.719616,74.812385559082
-142.6732776,60.02159631,13.719616,53.6955375671387
-142.607581,60.01595871,13.719616,64.5208892822266
-142.5419069,60.01028883,13.719616,65.2745895385742
-142.4762554,60.00458668,13.719616,65.9063949584961
-142.4106267,59.99885227,13.719616,65.836181640625
-142.3450209,59.99308563,13.719616,55.9625015258789
