"STRATUM","DEPTH_M","X","Y","LON","LAT","AREA_KM2"
211,663.757507324219,-652.058799179565,5937.33008922511,-169.982957568864,52.3555028256562,0.941610672681779
211,683.2158203125,-642.849651865446,5937.78572792675,-169.854016755248,52.3770245411767,0.232874347212642
211,636.516723632812,-631.333755445312,5936.10773681762,-169.691342577938,52.3846710588139,5.88607980671575
211,532.739624023438,-628.743643430817,5936.54471223949,-169.650973193203,52.3943325108611,10.5418899541754
211,549.567749023438,-625.039643430817,5936.80477603392,-169.599767854068,52.4036253416117,9.03207334348014
211,578.231140136719,-621.335643430817,5937.27556717214,-169.550115471542,52.4133383831804,6.91296730212292
211,669.427307128906,-619.001427227304,5937.29342231829,-169.515365925017,52.4231193731337,1.1634034459859
211,593.384033203125,-650.816617631209,5939.6222519874,-169.973914487237,52.3778505261207,11.6469512281453
211,347.161651611328,-647.263643430817,5940.43978274739,-169.92475134957,52.3872694279698,10.9912003215414
211,374.489379882812,-643.559643430817,5940.3893282564,-169.869955397214,52.3938749618255,12.1437806688548
211,456.244049072266,-639.855643430817,5940.66238231392,-169.822027266755,52.4060942209263,8.11081870467761
211,600.657653808594,-636.608626437146,5940.67835792178,-169.77431303685,52.4171427550598,4.5933926518113
211,521.843017578125,-631.639407435178,5939.77346301348,-169.707462312691,52.4187782159701,8.77912972326121
211,373.587310791016,-628.743643430817,5939.77635068239,-169.661865054956,52.4229522729844,13.3098720520525
211,402.427673339844,-625.039643430817,5939.77635068239,-169.609673263492,52.4305084742867,13.3125725311584
211,458.471984863281,-621.335643430817,5939.77635068239,-169.557458355487,52.4380423824525,13.3152648594704
211,606.189025878906,-617.637275214369,5939.64870892719,-169.507941085749,52.4467166172981,11.7224088074628
211,698.679443359375,-615.684467470275,5940.36237383866,-169.480082873528,52.4547948343574,0.15582076801312
211,298.317169189453,-650.499596605042,5943.48035068239,-169.980371556041,52.4090851369123,9.93416051635598
113,217.468383789062,-647.263643430817,5943.48035068239,-169.935035801279,52.4166936433991,13.2962508282213
211,237.631973266602,-643.559643430817,5943.48035068239,-169.88292634297,52.4243697273781,13.2989919369926
211,289.506042480469,-639.855643430817,5943.48035068239,-169.830793440474,52.4320236136118,13.3017249299068
211,337.887878417969,-636.151643430817,5943.48035068239,-169.778637147697,52.4396552784046,13.3044497999315
211,238.197204589844,-632.447643430817,5943.48035068239,-169.726457518726,52.4472646981107,13.3071665401516
211,241.168746948242,-628.743643430817,5943.48035068239,-169.674254607833,52.4548518491339,13.3098751435003
211,283.507873535156,-625.039643430817,5943.48035068239,-169.622028469474,52.462416707928,13.3125756030598
211,334.587097167969,-621.335643430817,5943.48035068239,-169.569779158285,52.4699592509973,13.3152679119005
211,540.437866210938,-618.296334380584,5943.46261446339,-169.524415483233,52.476125371704,9.58860245401677
211,677.030029296875,-612.671442070621,5945.05776713119,-169.454748597557,52.5014593826143,0.641077033010297
211,664.686279296875,-610.081308143824,5944.45713196654,-169.420027256271,52.5031292542444,2.6150312794849
113,197.760345458984,-649.976285915301,5947.79954552904,-169.986590149756,52.4414408618174,6.71303964699626
113,201.785858154297,-647.263643430817,5947.18435068239,-169.947619738935,52.4485472959752,13.2962540169983
211,227.853103637695,-643.559643430817,5947.18435068239,-169.895476162866,52.456232161638,13.2989951059685
113,211.256774902344,-639.855643430817,5947.18435068239,-169.843309085668,52.4638948072038,13.3017280791454
211,244.30712890625,-636.151643430817,5947.18435068239,-169.79111856134,52.4715352089254,13.3044529295044
113,209.580947875977,-632.447643430817,5947.18435068239,-169.738904644064,52.4791533431054,13.3071696500282
211,249.672073364258,-628.743643430817,5947.18435068239,-169.686667388205,52.4867491860959,13.3098782338104
211,242.465087890625,-625.039643430817,5947.18435068239,-169.634406848313,52.4943227142996,13.3125786738615
211,284.155731201172,-621.335643430817,5947.18435068239,-169.58212307912,52.5018739041689,13.3152709632168
211,422.640716552734,-617.631643430817,5947.32171275567,-169.530032777589,52.5094900093401,13.219339723162
211,463.117736816406,-613.927643430817,5947.37391177321,-169.477162316543,52.5173570545519,12.985606279572
